name;domain;granularity;length;dimension;num_endogenous;num_exogenous;targets;past_covariates;future_covariates;categorical_covariates;num_ts;ts_column
housing;human;QS;74;12;2;10;['CSUSHPISA', 'MSPUS'];['MORTGAGE30US', 'UMCSENT', 'INTDSRUSM193N', 'GDP', 'MSACSR', 'PERMIT', 'TLRESCONS', 'EVACANTUSQ176N'];['quarter', 'year'];['quarter', 'year'];1;
electricity;energy;D;2106;19;7;12;['demand', 'RRP', 'demand_pos_RRP', 'RRP_positive', 'demand_neg_RRP', 'RRP_negative', 'frac_at_neg_RRP'];['min_temperature', 'max_temperature', 'solar_exposure', 'rainfall', 'school_day', 'holiday'];['weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['school_day', 'holiday', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];1;
bike_sharing;human;h;8760;19;1;18;['Rented Bike Count'];['Temperature(°C)', 'Humidity(%)', 'Wind speed (m/s)', 'Visibility (10m)', 'Dew point temperature(°C)', 'Solar Radiation (MJ/m2)', 'Rainfall(mm)', 'Snowfall (cm)', 'Seasons', 'Holiday', 'Functioning Day'];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['Seasons', 'Holiday', 'Functioning Day', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];1;
energy;energy;h;30233;29;22;7;['generation_biomass', 'generation_fossil_brown_coal/lignite', 'generation_fossil_coal_derived_gas', 'generation_fossil_gas', 'generation_fossil_hard_coal', 'generation_fossil_oil', 'generation_fossil_oil_shale', 'generation_fossil_peat', 'generation_geothermal', 'generation_hydro_pumped_storage_consumption', 'generation_hydro_run_of_river_and_poundage', 'generation_hydro_water_reservoir', 'generation_marine', 'generation_nuclear', 'generation_other', 'generation_other_renewable', 'generation_solar', 'generation_waste', 'generation_wind_offshore', 'generation_wind_onshore', 'total_load_actual', 'price_actual'];[];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];1;
air_quality;nature;h;10898;13;6;7;['CO', 'NO2', 'O3', 'PM10', 'PM2.5', 'SO2'];[];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];2;station
household_power_consumption;energy;min;2075259;15;4;11;['Global_active_power', 'Global_reactive_power', 'Voltage', 'Global_intensity'];['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3'];['minute', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['minute', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];1;
stackoverflow;human;MS;132;84;20;64;['nltk', 'spacy', 'stanford-nlp', 'python', 'r', 'numpy', 'scipy', 'matlab', 'machine-learning', 'pandas', 'pytorch', 'keras', 'nlp', 'apache-spark', 'hadoop', 'pyspark', 'python-3.x', 'tensorflow', 'deep-learning', 'neural-network'];['lstm', 'time-series', 'pillow', 'rasa', 'opencv', 'pipenv', 'seaborn', 'Dask', 'jupyter', 'AllenNLP', 'Theano', 'plotly', 'scikit-learn', 'BeautifulSoup', 'scrapy', 'Gensim', 'FastText', 'Pydot', 'Pybrain', 'Pytil', 'Pygame', 'Colab', 'Shogun', 'KNIME', 'Apache', 'Gunicorn', 'Pygtk', 'Weka', 'Conda', 'Ray', 'matlab.1', 'accord.net', 'regression', 'classification', 'correlation', 'cluster-analysis', 'H2o', 'Mallet', 'Numba', 'Tableau', 'Trifacta', 'PyArrow', 'Rasterio', 'Orange3', 'PyMC3', 'Opennn', 'Oryx', 'Istio', 'Venes', 'Plotnine', 'Gluon', 'Plato', 'Sympy', 'Flair', 'stanford-nlp.1', 'pyqt', 'Nolearn', 'Lasagne', 'OCR', 'Apache-spark-mlib', 'azure-virtual-machine'];['month', 'quarter', 'year'];['month', 'quarter', 'year'];1;
weather;nature;h;100057;15;1;14;['temperature'];['dewpoint_temperature', 'mean_sea_level_pressure', 'relative_humidity', 'surface_solar_radiation', 'surface_thermal_radiation', 'total_cloud_cover', 'wind_speed'];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];1;
covid_mobility;human;D;413;12;6;6;['grocery_pharmacy', 'parks', 'residential', 'retail_recreation', 'transit_stations', 'workplaces'];[];['weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['weekday', 'monthday', 'week', 'month', 'quarter', 'year'];2;country
illness;human;W-TUE;966;11;7;4;['% WEIGHTED ILI', '%UNWEIGHTED ILI', 'AGE 0-4', 'AGE 5-24', 'ILITOTAL', 'NUM. OF PROVIDERS', 'OT'];[];['week', 'month', 'quarter', 'year'];['week', 'month', 'quarter', 'year'];1;
madrid19;nature;h;4344;25;1;24;['NO2'];['intensidad', 'ocupacion', 'carga', 'vmed', 'windDir_Categ_east', 'windDir_Categ_north', 'windDir_Categ_northeast', 'windDir_Categ_northwest', 'windDir_Categ_south', 'windDir_Categ_southeast', 'windDir_Categ_southwest', 'windDir_Categ_west'];['windSpeed', 'windDir', 'Temp', 'Humidity', 'Pressure', 'SolarRad', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['windDir_Categ_east', 'windDir_Categ_north', 'windDir_Categ_northeast', 'windDir_Categ_northwest', 'windDir_Categ_south', 'windDir_Categ_southeast', 'windDir_Categ_southwest', 'windDir_Categ_west', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];24;station
madrid22;nature;h;4343;25;1;24;['NO2'];['intensidad', 'ocupacion', 'carga', 'vmed', 'windDir_Categ_east', 'windDir_Categ_north', 'windDir_Categ_northeast', 'windDir_Categ_northwest', 'windDir_Categ_south', 'windDir_Categ_southeast', 'windDir_Categ_southwest', 'windDir_Categ_west'];['windSpeed', 'windDir', 'Temp', 'Humidity', 'Pressure', 'SolarRad', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];['windDir_Categ_east', 'windDir_Categ_north', 'windDir_Categ_northeast', 'windDir_Categ_northwest', 'windDir_Categ_south', 'windDir_Categ_southeast', 'windDir_Categ_southwest', 'windDir_Categ_west', 'hour', 'weekday', 'monthday', 'week', 'month', 'quarter', 'year'];24;station
demo_level1;demand;MS;99;11;1;10;['ACTUAL'];['Europe_Business_confidence_index', 'Europe_Consumer_confidence_index', 'Germany_Business_confidence_index', 'Germany_Composite_leading_indicator', 'Germany_Consumer_confidence_index', 'Global_Business_confidence_index', 'Global_Consumer_confidence_index'];['month', 'quarter', 'year'];['month', 'quarter', 'year'];2;LEVEL1
demo_level2;demand;MS;99;11;1;10;['ACTUAL'];['Europe_Business_confidence_index', 'Europe_Consumer_confidence_index', 'Germany_Business_confidence_index', 'Germany_Composite_leading_indicator', 'Germany_Consumer_confidence_index', 'Global_Business_confidence_index', 'Global_Consumer_confidence_index'];['month', 'quarter', 'year'];['month', 'quarter', 'year'];15;LEVEL2
demo_level3;demand;MS;99;11;1;10;['ACTUAL'];['Europe_Business_confidence_index', 'Europe_Consumer_confidence_index', 'Germany_Business_confidence_index', 'Germany_Composite_leading_indicator', 'Germany_Consumer_confidence_index', 'Global_Business_confidence_index', 'Global_Consumer_confidence_index'];['month', 'quarter', 'year'];['month', 'quarter', 'year'];10;LEVEL3
demo_material;demand;MS;99;11;1;10;['ACTUAL'];['Europe_Business_confidence_index', 'Europe_Consumer_confidence_index', 'Germany_Business_confidence_index', 'Germany_Composite_leading_indicator', 'Germany_Consumer_confidence_index', 'Global_Business_confidence_index', 'Global_Consumer_confidence_index'];['month', 'quarter', 'year'];['month', 'quarter', 'year'];10;MATERIAL
